icpsr	congress	dem	majority	female	afam	latino	votepct	dwnom1	meddist	chair	subchr	seniority	state_leg	south	s_bills	s_aic	s_abc	s_pass	all_bills	all_aic	all_abc	all_pass
267	93	1	1	0	0	0	69	-.329	.28200001	0	1	10	0	0	23	0	0	0	28	5	5	5
267	94	1	1	0	0	0	53	-.32800001	.14500001	0	1	11	0	0	52	1	2	1	59	6	7	6
267	95	1	1	0	0	0	55	-.32800001	.15850002	0	1	12	0	0	19	0	0	0	24	3	4	3
267	96	1	1	0	0	0	68	-.32800001	.18900001	1	1	13	0	0	16	0	0	0	19	3	3	3
465	93	1	1	0	0	0	66	-.477	.43000001	0	1	13	0	0	22	0	0	0	28	2	2	2
465	94	1	1	0	0	0	77	-.48199999	.29899999	0	1	14	0	0	14	0	0	0	18	3	3	3
633	93	1	1	0	0	0	82	-.061000001	.014	0	1	13	1	1	86	1	1	0	88	2	2	1
633	94	1	1	0	0	0	100	-.064000003	.119	0	1	14	1	1	59	0	0	0	63	2	2	1
633	95	1	1	0	0	0	100	-.067000002	.1025	0	1	15	1	1	63	1	1	0	67	2	2	1
633	96	1	1	0	0	0	100	-.07	.068999998	1	1	16	1	1	49	3	3	3	52	5	5	5
633	97	1	1	0	0	0	77	-.074000001	.013000001	0	1	17	1	1	64	7	2	2	66	7	2	2
633	98	1	1	0	0	0	84	-.077	.048999999	0	1	18	1	1	51	6	1	0	53	7	2	0
633	99	1	1	0	0	0	100	-.079999998	.023000002	0	1	19	1	1	63	11	3	2	67	12	3	2
633	100	1	1	0	0	0	100	-.082999997	.043000001	0	1	20	1	1	49	7	4	2	55	8	5	3
633	101	1	1	0	0	0	100	-.086000003	.045499995	0	1	21	1	1	53	11	3	3	55	12	4	3
633	102	1	1	0	0	0	73	-.089000002	.061999999	0	1	22	1	1	47	6	1	1	49	8	2	2
789	93	1	1	0	0	0	76	-.40200001	.35500002	1	0	14	1	0	56	2	2	2	62	7	7	7
830	93	1	1	0	0	0	100	-.31299999	.266	0	1	11	1	0	33	0	0	0	39	2	2	2
830	94	1	1	0	0	0	100	-.31900001	.13600001	0	1	12	1	0	18	0	0	0	23	2	2	2
830	95	1	1	0	0	0	76	-.324	.15450001	0	1	13	1	0	11	0	0	0	17	4	4	4
830	96	1	1	0	0	0	73	-.33000001	.19100001	0	1	14	1	0	8	1	1	1	18	7	7	5
830	97	1	1	0	0	0	67	-.33500001	.27400002	0	1	15	1	0	5	2	2	1	14	8	8	7
830	98	1	1	0	0	0	73	-.34	.214	0	1	16	1	0	6	1	0	0	12	6	5	5
830	99	1	1	0	0	0	69	-.34599999	.24299999	0	1	17	1	0	3	0	0	0	5	2	2	2
830	100	1	1	0	0	0	66	-.35100001	.22500001	0	1	18	1	0	1	0	0	0	3	2	2	2
835	93	1	1	0	0	0	63	-.491	.44400001	0	0	13	0	0	0	0	0	0	0	0	0	0
835	94	1	1	0	0	0	70	-.49200001	.30900002	0	0	14	0	0	3	0	0	0	3	0	0	0
835	95	1	1	0	0	0	71	-.493	.32350001	0	0	15	0	0	0	0	0	0	0	0	0	0
835	96	1	1	0	0	0	73	-.49399999	.35499999	1	0	16	0	0	0	0	0	0	1	0	0	0
835	97	1	1	0	0	0	70	-.49599999	.435	1	0	17	0	0	1	0	0	0	3	0	1	1
948	93	1	1	0	0	0	55	-.47099999	.42399999	0	1	8	0	0	49	0	0	0	59	7	8	7
948	94	1	1	0	0	0	64	-.47600001	.29300001	0	1	9	0	0	25	1	2	2	34	9	10	9
948	95	1	1	0	0	0	57	-.47999999	.3105	0	1	10	0	0	14	1	1	1	21	8	8	8
948	96	1	1	0	0	0	56	-.484	.345	0	1	11	0	0	1	0	0	0	2	1	1	1
986	93	0	0	0	0	0	65	.33399999	.38099998	0	0	12	0	0	6	0	0	0	6	0	0	0
1077	93	1	1	0	0	0	66	-.354	.30700001	0	1	11	1	1	12	2	2	2	15	5	5	5
1077	94	1	1	0	0	0	62	-.36199999	.17899999	1	1	12	1	1	21	6	6	6	26	11	11	10
1077	95	1	1	0	0	0	100	-.37	.20050001	1	1	13	1	1	25	8	8	7	33	12	12	9
1077	96	1	1	0	0	0	63	-.37799999	.23899999	1	1	14	1	1	9	1	1	1	19	11	11	11
1077	97	1	1	0	0	0	100	-.38600001	.32500002	1	1	15	1	1	14	9	4	3	22	14	9	8
1077	98	1	1	0	0	0	68	-.39300001	.26700002	1	1	16	1	1	18	7	4	3	29	17	14	11
1077	99	1	1	0	0	0	59	-.40099999	.29800001	1	1	17	1	1	18	7	4	3	22	8	7	6
1077	100	1	1	0	0	0	62	-.40900001	.28300002	1	1	18	1	1	19	10	4	3	27	18	12	10
1077	101	1	1	0	0	0	100	-.417	.28549999	1	1	19	1	1	17	9	9	8	27	18	19	17
1077	102	1	1	0	0	0	58	-.42500001	.27400002	1	1	20	1	1	10	5	5	5	19	14	13	10
1077	103	1	1	0	0	0	54	-.433	.27500001	1	1	21	1	1	9	5	5	4	23	17	18	15
1087	93	0	0	0	0	0	70	.20200001	.24900001	0	0	9	1	0	40	0	0	0	43	0	0	0
1087	94	0	0	0	0	0	63	.20900001	.39200002	0	0	10	1	0	64	0	0	0	66	0	0	0
1087	95	0	0	0	0	0	67	.21600001	.38550001	0	0	11	1	0	20	0	0	0	20	0	0	0
1087	96	0	0	0	0	0	71	.223	.36200002	0	0	12	1	0	10	0	0	0	11	0	0	0
1087	97	0	0	0	0	0	73	.23	.29100001	0	0	13	1	0	10	1	1	1	11	1	1	1
1087	98	0	0	0	0	0	73	.237	.36300001	0	0	14	1	0	3	0	0	0	4	1	1	1
1087	99	0	0	0	0	0	79	.244	.347	0	0	15	1	0	3	1	0	0	4	2	1	1
1087	100	0	0	0	0	0	74	.25	.37599999	0	0	16	1	0	8	1	1	1	9	2	2	2
1087	101	0	0	0	0	0	77	.257	.38850001	0	0	17	1	0	5	1	0	0	5	1	0	0
1087	102	0	0	0	0	0	66	.264	.41499999	0	0	18	1	0	7	2	1	1	7	2	1	1
1154	93	0	0	0	0	0	56	.212	.259	0	0	11	0	1	109	1	1	1	149	6	6	6
1265	93	1	1	0	0	0	100	-.38999999	.34299999	0	0	8	0	0	77	0	0	0	84	1	1	0
1265	94	1	1	0	0	0	100	-.396	.213	0	1	9	0	0	54	2	2	1	63	6	6	5
1265	95	1	1	0	0	0	69	-.40099999	.2315	0	1	10	0	0	36	3	3	2	41	4	4	3
1282	93	1	1	0	0	0	100	.18099999	.228	0	0	14	0	1	23	0	0	0	25	0	0	0
1282	94	1	1	0	0	0	100	.191	.37400001	0	0	15	0	1	26	1	1	0	29	2	2	1
1282	95	1	1	0	0	0	100	.20100001	.3705	0	0	16	0	1	19	2	2	2	21	4	4	4
1577	93	1	1	0	0	0	70	-.052999999	.0059999996	0	1	8	1	1	19	0	0	0	22	2	2	2
1577	94	1	1	0	0	0	71	-.063000001	.12	0	1	9	1	1	21	0	0	0	22	1	1	1
1610	93	0	0	0	0	0	67	.212	.259	0	0	11	0	0	16	0	0	0	18	1	1	1
1610	94	0	0	0	0	0	54	.197	.38	0	0	12	0	0	21	1	1	1	23	2	2	2
1610	95	0	0	0	0	0	57	.18099999	.35049999	0	0	13	0	0	11	0	0	0	13	0	0	0
1620	93	0	0	0	0	0	51	.271	.31799999	0	0	9	0	0	17	0	0	0	17	0	0	0
1763	93	1	1	0	0	0	56	-.30199999	.255	0	1	10	0	0	48	1	1	1	48	1	1	1
1941	93	0	0	0	0	0	61	.36500001	.412	0	0	9	0	0	51	0	0	0	54	0	0	0
2009	93	0	0	0	0	0	100	-.048999999	.0019999987	0	0	8	1	0	70	0	0	0	78	3	3	3
2009	94	0	0	0	0	0	71	-.056000002	.127	0	0	9	1	0	51	1	1	1	57	3	3	3
2009	95	0	0	0	0	0	64	-.061999999	.1075	0	0	10	1	0	91	0	0	0	97	2	2	2
2009	96	0	0	0	0	0	100	-.068999998	.07	0	0	11	1	0	43	0	0	0	47	0	0	0
2009	97	0	0	0	0	0	75	-.075000003	.014000003	0	0	12	1	0	19	3	0	0	21	3	0	0
2009	98	0	0	0	0	0	100	-.081	.044999998	0	0	13	1	0	26	2	1	1	28	3	2	2
2009	99	0	0	0	0	0	73	-.088	.015000001	0	0	14	1	0	24	3	1	1	26	4	2	1
2009	100	0	0	0	0	0	78	-.093999997	.032000002	0	0	15	1	0	14	2	1	0	16	3	2	1
2009	101	0	0	0	0	0	83	-.1	.031499997	0	0	16	1	0	40	4	2	2	45	7	5	5
2329	93	1	1	0	0	0	61	-.373	.32600001	0	1	8	0	0	50	1	1	1	59	6	6	3
2329	94	1	1	0	0	0	80	-.377	.19400001	0	1	9	0	0	54	0	0	0	61	7	7	6
2383	93	0	0	0	0	0	61	.5	.54699999	0	0	14	1	0	10	0	0	0	12	1	1	1
2476	93	1	1	0	0	0	93	-.28	.233	0	0	13	0	0	19	0	0	0	20	0	0	0
