caseid	cue	tax_soda	gop	ind	gop_cue	educate	ideology	income
139498948	1	4	0	0	0	5	3	3
145177480	1	4	0	0	0	4	2	8
146032309	1	2	0	0	0	3	2	4
146633488	1	3	1	0	1	3	3	9
146634685	0	3	1	0	0	3	3	3
146742320	1	1	1	0	1	3	5	7
146755404	1	4	0	0	0	4	3	5
146817031	1	1	1	0	1	2	5	6
146869486	1	3	0	0	0	5	2	4
146884051	0	1	0	1	0	2	3	5
146889570	0	4	0	0	0	3	3	5
146898422	1	4	0	0	0	2	2	8
146904444	1	4	0	1	0	5	3	9
146917942	0	4	0	0	0	6	3	12
146918742	1	2	1	0	1	5	3	6
146950027	1	3	1	0	1	2	3	6
146962368	1	4	0	0	0	5	3	9
146964135	1	1	1	0	1	3	4	5
146973780	1	2	1	0	1	5	4	3
146978551	1	1	0	0	0	3	3	7
146979691	1	1	1	0	1	6	5	9
146984291	1	1	1	0	1	4	5	6
146988663	1	1	1	0	1	3	3	9
146989003	1	3	0	0	0	4	3	11
146993529	1	4	0	0	0	5	2	13
146994091	1	1	1	0	1	3	4	2
146997582	0	1	1	0	0	5	4	6
146997643	1	1	1	0	1	3	5	9
147006969	1	3	0	0	0	6	2	8
147007517	1	4	0	1	0	1	3	3
147017061	1	4	0	0	0	4	2	5
147017390	0	4	0	0	0	3	1	3
147035241	0	1	1	0	0	4	5	6
147035550	0	1	1	0	0	2	3	2
147038551	1	1	0	0	0	3	3	9
147043081	0	1	0	0	0	5	3	5
147048498	1	4	0	1	0	3	3	7
147053937	0	4	0	0	0	3	2	9
147054642	1	1	0	0	0	2	3	5
147058642	1	4	0	0	0	5	3	3
147068682	1	1	1	0	1	5	3	2
147068708	1	4	1	0	1	3	4	2
147074314	0	3	0	0	0	6	1	10
147075002	1	3	0	0	0	3	3	2
147078991	0	1	1	0	0	5	4	9
147092123	0	1	0	1	0	3	5	2
147096315	1	2	0	0	0	5	2	9
147101937	0	1	1	0	0	2	4	12
147109502	1	2	0	0	0	4	2	5
147111036	0	3	0	0	0	5	1	5
147122993	1	4	0	0	0	6	2	7
147124508	1	3	0	1	0	6	3	7
147132656	1	4	0	0	0	5	1	13
147134755	0	2	0	0	0	5	2	10
147135803	1	2	0	0	0	3	2	6
147138757	1	1	0	1	0	2	5	2
147139920	1	4	0	0	0	6	2	11
147141689	1	1	1	0	1	5	4	4
147142399	0	1	1	0	0	2	3	5
147144804	1	1	0	0	0	5	2	3
147145427	1	4	0	0	0	3	2	8
